codId,firstname,lastname,email,username
2015001,Kabul,Kabol, ,kabulkabol
2015002,Qandahar,Qandahar,qandaharqandahar@admin.com, 
2015003,Herat,Herat, ,heratherat
2015004,Mazar-e-Sharif,Balkh,mazar-e-sharifbalkh@admin.com, 
2015005,Amsterdam,Noord-Holland,amsterdamnoord-holland@admin.com, 
2015006,Rotterdam,Zuid-Holland, ,rotterdamzuid-holland
2015007,Haag,Zuid-Holland,haagzuid-holland@admin.com, 
2015008,Utrecht,Utrecht,utrechtutrecht@admin.com, 
2015009,Eindhoven,Noord-Brabant, ,eindhovennoord-brabant
2015010,Tilburg,Noord-Brabant, ,tilburgnoord-brabant
2015011,Groningen,Groningen, ,groningengroningen
2015012,Breda,Noord-Brabant,bredanoord-brabant@admin.com, 
2015013,Apeldoorn,Gelderland, ,apeldoorngelderland
2015014,Nijmegen,Gelderland,nijmegengelderland@admin.com, 
2015015,Enschede,Overijssel, ,enschedeoverijssel
2015016,Haarlem,Noord-Holland,haarlemnoord-holland@admin.com, 
2015017,Almere,Flevoland,almereflevoland@admin.com, 
2015018,Arnhem,Gelderland, ,arnhemgelderland
2015019,Zaanstad,Noord-Holland,zaanstadnoord-holland@admin.com, 
2015020,´s-Hertogenbosch,Noord-Brabant, ,´s-hertogenboschnoord-brabant
2015021,Amersfoort,Utrecht, ,amersfoortutrecht
2015022,Maastricht,Limburg, ,maastrichtlimburg
2015023,Dordrecht,Zuid-Holland,dordrechtzuid-holland@admin.com, 
2015024,Leiden,Zuid-Holland, ,leidenzuid-holland
2015025,Haarlemmermeer,Noord-Holland,haarlemmermeernoord-holland@admin.com, 
2015026,Zoetermeer,Zuid-Holland, ,zoetermeerzuid-holland
2015027,Emmen,Drenthe,emmendrenthe@admin.com, 
2015028,Zwolle,Overijssel,zwolleoverijssel@admin.com, 
2015029,Ede,Gelderland, ,edegelderland
2015030,Delft,Zuid-Holland, ,delftzuid-holland
2015031,Heerlen,Limburg, ,heerlenlimburg
2015032,Alkmaar,Noord-Holland,alkmaarnoord-holland@admin.com, 
2015033,Willemstad,Curaçao, ,willemstadcuraçao
2015034,Tirana,Tirana, ,tiranatirana
2015035,Alger,Alger,algeralger@admin.com, 
2015036,Oran,Oran,oranoran@admin.com, 
2015037,Constantine,Constantine,constantineconstantine@admin.com, 
2015038,Annaba,Annaba, ,annabaannaba
2015039,Batna,Batna, ,batnabatna
2015040,Sétif,Sétif, ,sétifsétif
2015041,SidiBelAbbès,SidiBelAbbès, ,sidibelabbèssidibelabbès
2015042,Skikda,Skikda, ,skikdaskikda
2015043,Biskra,Biskra, ,biskrabiskra
2015044,Blida(el-Boulaida),Blida,blida(el-boulaida)blida@admin.com, 
2015045,Béjaïa,Béjaïa, ,béjaïabéjaïa
2015046,Mostaganem,Mostaganem,mostaganemmostaganem@admin.com, 
2015047,Tébessa,Tébessa, ,tébessatébessa
2015048,Tlemcen(Tilimsen),Tlemcen,tlemcen(tilimsen)tlemcen@admin.com, 
2015049,Béchar,Béchar,bécharbéchar@admin.com, 
2015050,Tiaret,Tiaret, ,tiarettiaret
2015051,Ech-Chleff(el-Asnam),Chlef,ech-chleff(el-asnam)chlef@admin.com, 
2015052,Ghardaïa,Ghardaïa, ,ghardaïaghardaïa
2015053,Tafuna,Tutuila,tafunatutuila@admin.com, 
2015054,Fagatogo,Tutuila, ,fagatogotutuila
2015055,AndorralaVella,AndorralaVella, ,andorralavellaandorralavella
2015056,Luanda,Luanda, ,luandaluanda
2015057,Huambo,Huambo,huambohuambo@admin.com, 
2015058,Lobito,Benguela,lobitobenguela@admin.com, 
2015059,Benguela,Benguela,benguelabenguela@admin.com, 
2015060,Namibe,Namibe,namibenamibe@admin.com, 
2015061,SouthHill,–,southhill–@admin.com, 
2015062,TheValley,–, ,thevalley–
2015063,SaintJohn´s,StJohn,saintjohn´sstjohn@admin.com, 
2015064,Dubai,Dubai,dubaidubai@admin.com, 
2015065,AbuDhabi,AbuDhabi,abudhabiabudhabi@admin.com, 
2015066,Sharja,Sharja, ,sharjasharja
2015067,al-Ayn,AbuDhabi, ,al-aynabudhabi
2015068,Ajman,Ajman, ,ajmanajman
2015069,BuenosAires,DistritoFederal, ,buenosairesdistritofederal
2015070,LaMatanza,BuenosAires, ,lamatanzabuenosaires
2015071,Córdoba,Córdoba,córdobacórdoba@admin.com, 
2015072,Rosario,SantaFé,rosariosantafé@admin.com, 
